Language,Task,Bias,Type,Mean,Stddev,Data
C++,Traversal,None,Root,341.157,2.1742,342.067 337.099 341.434 333.316 339.249 341.078 341.783 342.752 341.268 339.365 341.856 340.923 342.193 340.572 342.264 345.623 341.06 342.957 340.729 339.612 343.973 337.69 341.278 341.815 341.007 342.507 340.403 341.857 342.291 342.224 342.703 342.062
C++,Traversal,None,Finger,537.312,2.84408,530.692 542.225 529.862 539.505 534.394 535.991 536.152 536.004 537.217 537.957 538.315 536.995 537.819 543.745 538.856 539.679 537.958 537.414 537.891 535.853 536.933 536.498 538.958 538.64 538.086 536.479
C++,Traversal,Bottom,Root,388.166,1.72396,387.944 392.012 387.98 386.655 386.293 388 387.893 385.646 389.613 384.002 385.28 388.439 387.207 387.502 387.528 387.381 389.437 387.975 388.37 391.375 388.214 389.456 387.259 390.264 390.347 390.011 388.393 389.215 387.898 387.4
C++,Traversal,Bottom,Finger,589.309,4.64132,582.473 585.51 590.158 586.227 587.715 587.831 583.324 587.222 586.441 588.805 583.453 587.448 586.484 583.884 592.393 595.314 599.651 597.83 596.808 594.383 591.361 590.206 591.008 587.945 588.844
C++,Traversal,Right,Root,47.8432,0.403134,47.974 47.4723 47.6378 47.2244 47.9691 47.3233 47.4282 47.9973 47.4444 48.0025 47.545 47.9516 47.4345 47.4959 47.6 47.5633 47.4097 48.1684 47.6827 47.55 47.8099 48.1827 49.2345 48.8738 48.6656 48.0376 47.9042 48.463 48.9003 48.7834 48.9355 47.8181 47.9038 48.6264 47.7058 47.9997 48.1895 47.8948 47.9511 47.8232 47.6591 47.6423 47.721 47.682 47.6668 47.7483 47.5864 47.6093 47.8552 47.5766 47.5886 47.6206 47.7873 47.7594 47.4275 47.8123 47.7897 47.7625 47.6816 47.7938 47.4736 47.6799 47.5385 47.5628 47.6765 47.7114 48.1948 47.6392 47.6444 47.8578 47.4002 48.1611 47.4525 48.1394 47.4354 47.7895 47.7796 47.4998 48.5997 47.9204 47.9695 47.5304 47.4931 47.5596 47.7177 48.5936 47.9885
C++,Traversal,Right,Finger,19.1813,0.290058,19.9883 19.0118 19.663 19.2454 19.3957 19.1652 18.998 19.6857 19.4333 19.4889 19.5343 20.3236 19.8001 19.4174 19.722 20.1192 19.4153 19.6059 19.9488 19.0999 19.5241 19.6626 19.6844 19.822 19.4785 19.8461 19.4219 19.5239 19.5153 19.5484 19.6985 19.4029 19.6242 19.6652 19.422 19.6949 19.4651 19.6786 19.1336 18.9197 18.9914 18.7992 19.1356 19.0752 19.1472 19.0004 19.1116 18.9932 19.0258 18.9367 19.0215 19.3327 19.0305 18.862 19.0979 19.135 18.9915 18.9726 18.9904 19.1423 18.8627 18.9846 19.031 19.0154 19.0688 18.9931 18.9698 19.0445 19.0631 18.9871 19.0219 19.055 19.0277 19.0878 18.9935 19.0395 19.038 19.0184 19.0209 19.0122 18.9389 18.955 19.0439 18.9884 18.9578 18.9132 19.1499 19.1362 19.0115 18.9683 18.976 18.9353 19.118 19.1722 19.1034 19.042 19.0514 18.9999 19.0607 19.0507 19.1576 19.0408 18.9995 18.9525 18.9696 19.0407 19.0258 18.9643 19.0898 19.0638 19.1444 19.0805 19.0982 19.1396 18.973 19.0007 19.0142 18.9986 19.13 19.0265 19.054 19.0927 19.0001 19.0632 18.9693 18.9776 19.1954 19.0624 19.0609 18.9783 19.0385 19.0146 18.9886 19.0141 18.9812 18.9728 18.9734
C++,Traversal,BottomRight,Root,48.8922,0.684051,48.9984 47.9969 49.6622 53.2794 49.603 48.7307 49.6885 49.9672 48.4421 50.6002 48.2222 48.7237 48.7632 48.1683 48.8387 51.0647 48.7773 48.5964 48.8619 49.6537 48.8394 48.7242 48.6545 48.5007 48.6986 48.5737 50.0216 49.0013 48.8949 48.6004 48.8709 48.4081 49.3926 48.434 48.3618 49.2978 48.5636 49.2198 48.4389 48.8543 48.4443 49.1937 48.9311 49.2728 48.6203 48.8499 48.7904 48.6424 48.6379 48.7848 48.5794 48.56 48.6576 48.8153 48.4146 48.8419 48.806 48.4732 48.434 48.6669 49.0978 48.9927 49.0589 48.8406 49.5378 48.4849 48.762 48.8524 48.5947 48.8594 48.5979 48.5199 48.6164 48.756 48.7148 48.5733 48.664 48.7398 48.6459 48.5872 48.6169 48.9027 48.4219 48.285 48.4849 49.1129
C++,Traversal,BottomRight,Finger,15.9399,0.141158,16.991 15.9906 15.991 15.9908 15.7909 15.8375 15.7898 15.7409 15.6577 15.8909 15.7183 15.6577 15.8828 15.6339 16.2574 15.741 15.7557 16.0519 15.7598 15.741 15.7529 15.7249 15.7817 16.0013 15.7595 15.9606 15.7397 15.8042 15.7151 15.6939 16.0414 15.7418 15.9696 15.7792 15.9909 15.9912 15.9471 15.9281 15.7641 15.9051 15.915 15.9077 15.9113 15.8173 15.8876 16.0005 15.9587 15.9251 15.9096 15.919 15.9061 15.9286 15.8419 15.8895 15.8814 15.8302 15.8606 15.9459 15.9862 15.8883 16.1396 15.9058 15.9529 15.8748 15.9844 15.9374 15.9579 15.8788 15.8754 16.0878 15.8804 16.0555 15.9314 15.8509 15.9612 16.0528 15.9488 15.9473 15.9016 15.9152 15.7723 15.8897 15.8436 15.8817 15.9324 15.8513 16.0168 15.8221 15.9116 15.9284 15.9562 15.8945 15.9381 16.0324 15.9568 15.8623 15.9666 15.9386 15.9951 15.9846 15.9622 15.9458 15.9455 16.0095 15.9809 16.0103 15.9361 16.0798 15.8451 15.9905 16.0304 15.9618 15.9606 15.9505 16.0269 15.9568 15.9571 16.0935 16.0034 16.0087 16.1277 15.9352 16.1051 16.0808 15.9453 15.9755 16.0246 16.0175 16.0122 16.0171 16.1197 15.8823 16.1485 15.9933 16.0282 16.0079 15.9561 15.9943 16.0156 16.0472 15.9997 16.0282 16.0838 15.9446 16.1241 16.195 16.0797 16.0788 15.988 15.986
C++,Insertion,None,Root,1543.57,32.3155,1538.2 1524.36 1570.57 1561.96 1499.6 1546.93 1497.03 1538.91 1544.46 1489.47 1610.2 1581.5 1557.08 1549.42 1543.87
C++,Insertion,None,Finger,1290.4,41.5705,1318.65 1350 1361.01 1383.25 1327.19 1282.67 1244 1271.02 1251.99 1260.3 1272.88 1282.77 1272.39 1266.43 1263.21 1260.74 1268.34
